feature,ai_variance,human_variance,variance_ratio,levene_statistic,levene_pvalue,f_statistic,f_pvalue,significant,ai_lower_variance,levene_p_fdr,significant_fdr
mfcc_0_std,0.772575787794183,1.1717230448164548,0.6593501691478668,1.6375873411243933,0.2031671494104261,0.6593501691478668,0.11247627582526115,False,True,0.27779997980609283,False
mfcc_8_std,0.8061187951633187,1.2218786007377214,0.6597372232205527,2.9299706250576523,0.08957617891991035,0.6597372232205527,0.1129799461691371,False,True,0.15793694704299982,False
mfcc_10_std,0.8054037361293166,1.2202376610980454,0.6600384185852487,2.6789812255758108,0.10434511091662595,0.6600384185852487,0.11337292271825548,False,True,0.16764798324170493,False
mfcc_9_std,0.8024631981919438,1.1918108849032931,0.6733142047591367,1.9301137804586252,0.16736209313762054,0.6733142047591367,0.1315999185111537,False,True,0.24918356089379057,False
chroma_cqt_std,0.7112648191414218,1.0308770254895916,0.6899608794789298,0.9818869920317104,0.32376095663543925,0.6899608794789298,0.15699096459613276,False,True,0.4092827187655553,False
spectral_contrast_std,0.7814866644913493,1.129750083871269,0.6917341061958238,2.545246779424559,0.1133015030989048,0.6917341061958238,0.15986346751571096,False,True,0.176539551340154,False
mfcc_3_mean,0.8164973665232684,1.1677449310756047,0.6992086583250644,1.4274278342543332,0.23458056854248305,0.6992086583250644,0.17232789438030854,False,True,0.3143379618469273,False
mfcc_delta_mean,0.8592997640701023,1.1519858627565027,0.7459290880653229,0.47216192453690975,0.4933425356389627,0.7459290880653229,0.2631322206585056,False,True,0.5698956877208707,False
mfcc_8_mean,0.7731988711196198,1.0281525350827119,0.7520273935398294,1.283986888823221,0.25945612827600373,0.7520273935398294,0.27657714709493353,False,True,0.34085412930376957,False
mfcc_5_std,0.8421884228923537,1.11490186319124,0.7553924257348671,1.7101171509352664,0.1935122346937751,0.7553924257348671,0.2841466075834755,False,True,0.2701108275933944,False
mfcc_6_std,0.9023762291905318,1.0877350125836456,0.8295919674840292,0.8056803780463865,0.3712281878989645,0.8295919674840292,0.47525755608369413,False,True,0.4454835378139637,False
self_similarity_mean,0.9285978012224437,1.105179182750932,0.8402237535012606,0.801915301813324,0.37234444951614876,0.8402237535012606,0.5058271318303263,False,True,0.4454835378139637,False
repetition_score,0.9285978012224437,1.105179182750932,0.8402237535012606,0.801915301813324,0.37234444951614876,0.8402237535012606,0.5058271318303263,False,True,0.4454835378139637,False
mfcc_9_mean,0.9256253297402145,1.054732051492912,0.8775928715070768,0.05040617280962501,0.8227463059375314,0.8775928715070768,0.6176550867818238,False,True,0.8613125390283531,False
self_similarity_std,0.9636472392014742,1.069873584917301,0.9007113109311529,0.16113982668298654,0.6888353118494324,0.9007113109311529,0.689287743706755,False,True,0.7521958375350292,False
mfcc_12_mean,0.9468738739477414,1.0458358807768215,0.9053752040372017,0.12263693920815397,0.7268162470921762,0.9053752040372017,0.7038836103166899,False,True,0.772963310399616,False
mfcc_5_mean,1.019694464952989,0.9996124366051388,1.0200898144245307,0.031718015100912655,0.8589533443916042,1.0200898144245307,0.9393650174066408,False,False,0.885382678065192,False
mfcc_4_std,0.9367871477070288,0.8928792059434122,1.0491756796119176,0.02043309270542497,0.8865779208379011,1.0491756796119176,0.8543448423878133,False,False,0.9000109196384753,False
mfcc_7_mean,1.0554781856549251,0.9770751169809145,1.0802426213823457,0.1533486975920061,0.6960618198085344,1.0802426213823457,0.7678813339794117,False,False,0.7521958375350292,False
mfcc_6_mean,1.053566173103683,0.875390800512474,1.2035380912009825,1.0012303072680813,0.3190604975042712,1.2035380912009825,0.4789364250330501,False,False,0.4092827187655553,False
dynamic_range_db,0.0,0.0,,,,,,False,False,,False
